;Quantite Commande;Cout standard;Nom Client;Ville;Nom Produit;Couleur;Prix;Modele;Sous Categorie;Categorie;Type Business;Type Canal;Region;Pays;Continent;Date;Etat Civil;Genre;Revenu annuel;Nbr Enfants;Poste;Propeietaire Maison;Nbr Voitures;Annee;Mois;Semaine;Saison;Age;Tranche d'âge
100;2;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, XL;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
101;8;5.7052;Jordan Hernandez;Grossmont;AWC Logo Cap;Inconnu;8.6442;Cycling Cap;Caps;Clothing;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
102;4;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Blue;Bleu;33.6442;Sport-100;Helmets;Accessories;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
103;3;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 44;Rouge;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
104;1;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 52;Rouge;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
105;3;413.1463;Jordan Hernandez;Grossmont;Road-650 Black, 52;Noir;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
106;2;181.4857;Jordan Hernandez;Grossmont;LL Road Frame - Red, 62;Rouge;306.5636;LL Road Frame;Road Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
107;4;413.1463;Jordan Hernandez;Grossmont;Road-650 Black, 58;Noir;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
108;6;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 48;Rouge;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
109;1;352.1394;Jordan Hernandez;Grossmont;ML Road Frame - Red, 48;Rouge;594.83;ML Road Frame;Road Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
110;1;181.4857;Jordan Hernandez;Grossmont;LL Road Frame - Red, 60;Rouge;306.5636;LL Road Frame;Road Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
111;2;2171.2942;Jordan Hernandez;Grossmont;Road-150 Red, 62;Rouge;3578.27;Road-150;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
112;3;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 60;Rouge;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
113;1;181.4857;Jordan Hernandez;Grossmont;LL Road Frame - Red, 48;Rouge;306.5636;LL Road Frame;Road Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
114;1;176.1997;Jordan Hernandez;Grossmont;LL Road Frame - Black, 52;Noir;297.6346;LL Road Frame;Road Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
115;1;413.1463;Jordan Hernandez;Grossmont;Road-650 Black, 60;Noir;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
116;2;884.7083;Jordan Hernandez;Grossmont;Road-450 Red, 60;Rouge;1457.99;Road-450;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
117;8;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Red;Rouge;33.6442;Sport-100;Helmets;Accessories;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
118;5;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 62;Rouge;699.0982;Road-650;Road Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
119;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 42;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
120;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 44;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
121;2;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 48;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
122;1;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, XL;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
123;6;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, M;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
124;2;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Blue;Bleu;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
125;1;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, L;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
126;1;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Black;Noir;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
127;2;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Red;Rouge;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Northwest;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
128;1;2171.2942;Wyatt Collins;Lebanon;Road-150 Red, 52;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Northwest;United States;North America;2017-10-06;Marié(e);Homme;60000;0;Skilled Manual;NON;2;2017;10;40;Automn;48;40-60
129;1;2171.2942;Nicole Diaz;Kirkland;Road-150 Red, 44;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Northwest;United States;North America;2017-10-06;célibataire;Femme;90000;3;Professional;NON;1;2017;10;40;Automn;41;40-60
130;1;2171.2942;Alexis Jenkins;Long Beach;Road-150 Red, 62;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Southwest;United States;North America;2017-10-06;célibataire;Femme;60000;0;Skilled Manual;OUI;2;2017;10;40;Automn;48;40-60
131;1;2171.2942;Shelby Cox;Santa Monica;Road-150 Red, 48;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Southwest;United States;North America;2017-10-06;célibataire;Femme;60000;0;Skilled Manual;NON;2;2017;10;40;Automn;49;40-60
132;4;5.7052;Jordan Hernandez;Grossmont;AWC Logo Cap;Inconnu;8.6442;Cycling Cap;Caps;Clothing;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
133;2;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 44;Rouge;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
134;4;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, L;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
135;1;413.1463;Jordan Hernandez;Grossmont;Road-650 Black, 52;Noir;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
136;2;884.7083;Jordan Hernandez;Grossmont;Road-450 Red, 58;Rouge;1457.99;Road-450;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
137;4;413.1463;Jordan Hernandez;Grossmont;Road-650 Black, 58;Noir;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
138;4;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 48;Rouge;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
139;2;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 60;Rouge;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
140;1;413.1463;Jordan Hernandez;Grossmont;Road-650 Red, 62;Rouge;699.0982;Road-650;Road Bikes;Bikes;Specialty Bike Shop;Reseller;Northeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
141;1;2171.2942;Cory Malhotra;Gold Coast;Road-150 Red, 62;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-10-06;célibataire;Homme;10000;1;Manual;NON;0;2017;10;40;Automn;25;20-40
142;1;2171.2942;Carolyn Ramos;Springwood;Road-150 Red, 62;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-10-06;Marié(e);Femme;20000;0;Clerical;NON;0;2017;10;40;Automn;25;20-40
143;1;413.1463;Daisy Vazquez;Cranbourne;Road-650 Red, 58;Rouge;699.0982;Road-650;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-10-06;Marié(e);Femme;10000;0;Manual;OUI;1;2017;10;40;Automn;24;20-40
144;1;2171.2942;Micheal Saunders;Rockhampton;Road-150 Red, 48;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-10-06;célibataire;Homme;70000;0;Skilled Manual;OUI;2;2017;10;40;Automn;46;40-60
145;1;2171.2942;Alan Guo;Suresnes;Road-150 Red, 48;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;France;France;Europe;2017-10-06;célibataire;Homme;10000;1;Manual;NON;1;2017;10;40;Automn;43;40-60
146;1;413.1463;Carol Ann Rockne;Lancaster;Road-650 Black, 58;Noir;699.0982;Road-650;Road Bikes;Bikes;[Not Applicable];Internet;United Kingdom;United Kingdom;Europe;2017-10-06;Marié(e);Homme;30000;0;Clerical;OUI;0;2017;10;40;Automn;59;40-60
1331;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 42;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Specialty Bike Shop;Reseller;Southeast;United States;North America;2017-07-27;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;30;Ete;42;40-60
1332;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 48;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Specialty Bike Shop;Reseller;Southeast;United States;North America;2017-07-27;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;30;Ete;42;40-60
1333;4;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, M;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Specialty Bike Shop;Reseller;Southeast;United States;North America;2017-07-27;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;30;Ete;42;40-60
1334;3;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 38;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Specialty Bike Shop;Reseller;Southeast;United States;North America;2017-07-27;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;30;Ete;42;40-60
1335;1;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, L;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Specialty Bike Shop;Reseller;Southeast;United States;North America;2017-07-27;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;30;Ete;42;40-60
1336;1;2171.2942;Paige Morris;Haney;Road-150 Red, 52;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Canada;Canada;North America;2017-07-27;célibataire;Femme;60000;0;Skilled Manual;NON;1;2017;07;30;Ete;29;20-40
